Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Credit Card No,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
149,933,2012-08-04,Not Specified,15,80.61,0.02,Regular Air,-4.715,5.28,2.99,Claudia Miner,Nunavut,Nunavut,Small Business,344418859887209,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box,0.37,2012-08-04
160,995,2011-05-30,Medium,46,1815.49,0.03,Regular Air,782.91,39.89,3.04,Neola Schneider,Nunavut,Nunavut,Home Office,377607987094866,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,2011-05-31
161,998,2009-11-25,Not Specified,16,248.26,0.07,Regular Air,93.8,15.74,1.39,Allen Rosenblatt,Nunavut,Nunavut,Small Business,342678776669830,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,2009-11-26
175,1154,2012-02-14,Critical,44,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Sylvia Foulston,Nunavut,Nunavut,Home Office,348627066957367,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,2012-02-16
176,1154,2012-02-14,Critical,11,663.7840000000001,0.25,Regular Air,-481.041,71.37,69.0,Sylvia Foulston,Nunavut,Nunavut,Home Office,342701869398115,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,2012-02-16
203,1344,2012-04-15,Low,15,834.904,0.06,Regular Air,-11.681999999999999,65.99,5.26,Jim Radford,Nunavut,Nunavut,Corporate,344177754482637,Technology,Telephones and Communication,g520,Small Box,0.59,2012-04-22
204,1344,2012-04-15,Low,18,2480.9205,0.01,Regular Air,313.57800000000003,155.99,8.99,Jim Radford,Nunavut,Nunavut,Corporate,376360364235857,Technology,Telephones and Communication,LX 788,Small Box,0.58,2012-04-19
213,1412,2010-03-12,Not Specified,13,59.03,0.1,Express Air,26.92,3.69,0.5,Carlos Soltero,Nunavut,Nunavut,Consumer,343151368665896,Office Supplies,Labels,Avery 52,Small Box,0.38,2010-03-14
214,1412,2010-03-12,Not Specified,21,97.48,0.05,Regular Air,-5.77,4.71,0.7,Carlos Soltero,Nunavut,Nunavut,Consumer,340226120003405,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,2010-03-14
229,1539,2011-03-09,Low,33,511.83,0.1,Regular Air,-172.8795,15.99,13.18,Carl Ludwig,Nunavut,Nunavut,Corporate,340186591840273,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,2011-03-11
230,1539,2011-03-09,Low,38,184.99,0.05,Regular Air,-144.55,4.89,4.93,Carl Ludwig,Nunavut,Nunavut,Corporate,343190817893477,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,2011-03-14
231,1540,2012-08-04,High,30,80.9,0.09,Regular Air,5.76,2.88,0.7,Don Miller,Nunavut,Nunavut,Home Office,375597258238684,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,2012-08-06
249,1702,2011-05-06,High,23,67.24,0.06,Regular Air,4.9,2.84,0.93,Annie Cyprus,Nunavut,Nunavut,Home Office,375522243426004,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,Wrap Bag,0.54,2011-05-07
250,1761,2010-12-23,High,25,12028.23,0.01,Delivery Truck,-547.61,449.99,49.0,Carl Ludwig,Nunavut,Nunavut,Corporate,343338554561811,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,2010-12-25
256,1792,2010-11-08,Low,28,370.48,0.04,Regular Air,-5.45,13.48,4.51,Carlos Soltero,Nunavut,Nunavut,Consumer,346289934928765,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,2010-11-13
330,2275,2012-10-21,Not Specified,49,278.0,0.08,Regular Air,41.67,6.08,1.17,Grant Carroll,Nunavut,Nunavut,Small Business,343079035961929,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,2012-10-22
331,2277,2011-01-01,Not Specified,10,66.54,0.01,Regular Air,-46.03,5.98,4.38,Don Miller,Nunavut,Nunavut,Home Office,341908348749708,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,2011-01-02
332,2277,2011-01-01,Not Specified,21,845.32,0.06,Regular Air,33.67,40.99,19.99,Don Miller,Nunavut,Nunavut,Home Office,347215929252563,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,2011-01-03
362,2532,2011-10-10,High,39,282.07,0.03,Regular Air,140.01,7.31,0.49,Alan Barnes,Nunavut,Nunavut,Corporate,374646225804853,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,2011-10-11
363,2532,2011-10-10,High,24,426.03700000000003,0.01,Regular Air,-78.958,20.99,2.5,Alan Barnes,Nunavut,Nunavut,Corporate,372235867981187,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,2011-10-11
381,2631,2010-09-23,Low,27,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack Garza,Nunavut,Nunavut,Corporate,375451355483407,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,2010-09-25
406,2757,2011-07-19,Critical,39,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Julia West,Nunavut,Nunavut,Corporate,370192129255896,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,2011-07-19
413,2791,2009-10-09,High,47,191.67,0.0,Regular Air,-236.2675,3.89,7.01,Eugene Barchas,Nunavut,Nunavut,Corporate,377359902845085,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,2009-10-09
414,2791,2009-10-09,High,49,5586.33,0.09,Delivery Truck,80.44,120.98,30.0,Eugene Barchas,Nunavut,Nunavut,Corporate,375521684482112,Furniture,Chairs & Chairmats,Hon Every-Day® Chair Series Swivel Task Chairs,Jumbo Drum,0.64,2009-10-11
415,2791,2009-10-09,High,18,507.64,0.1,Regular Air,118.94,30.98,5.76,Eugene Barchas,Nunavut,Nunavut,Corporate,345084771918180,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.4,2009-10-10
440,2976,2010-12-09,Not Specified,30,14223.82,0.09,Delivery Truck,3424.22,500.98,26.0,Edward Hooks,Nunavut,Nunavut,Consumer,342371772249621,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Jumbo Drum,0.6,2010-12-11
471,3232,2012-10-08,Critical,5,42.66,0.06,Regular Air,-11.833499999999999,7.84,4.71,Brad Eason,Nunavut,Nunavut,Small Business,343494503909138,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Small Box,0.35,2012-10-10
513,3524,2012-05-02,High,21,427.32,0.0,Regular Air,52.35,18.97,9.03,Nicole Hansen,Nunavut,Nunavut,Small Business,344680393363423,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,2012-05-03
577,3908,2010-03-08,Medium,8,820.284,0.0,Regular Air,-180.202,115.99,2.5,Dorothy Wardle,Nunavut,Nunavut,Corporate,375047100282134,Technology,Telephones and Communication,6160,Small Box,0.57,2010-03-08
606,4132,2011-05-28,Not Specified,5,14.76,0.01,Regular Air,1.32,2.88,0.5,Aaron Bergman,Nunavut,Nunavut,Corporate,376859957747228,Office Supplies,Labels,Avery 49,Small Box,0.36,2011-05-30
656,4612,2010-09-19,Medium,9,89.55,0.06,Regular Air,-375.64,4.48,49.0,Jim Radford,Nunavut,Nunavut,Corporate,340971474928489,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box,0.6,2010-09-21
669,4676,2011-08-31,High,11,1210.0514999999998,0.04,Regular Air,-104.24700000000007,125.99,7.69,Annie Cyprus,Nunavut,Nunavut,Home Office,373815374547743,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,2011-09-01
670,4676,2011-08-31,High,50,187.83,0.03,Regular Air,85.96,3.75,0.5,Annie Cyprus,Nunavut,Nunavut,Home Office,378218137584456,Office Supplies,Labels,Avery 510,Small Box,0.37,2011-09-02
671,4676,2011-08-31,High,3,49.59,0.07,Express Air,-8.38,12.28,6.47,Annie Cyprus,Nunavut,Nunavut,Home Office,349685497633196,Office Supplies,Paper,Xerox 1881,Small Box,0.38,2011-09-02
672,4676,2011-08-31,High,30,4253.009,0.01,Regular Air,1115.694,155.99,8.99,Annie Cyprus,Nunavut,Nunavut,Home Office,340591333554381,Technology,Telephones and Communication,LX 788,Small Box,0.58,2011-09-01
734,5284,2011-07-08,Not Specified,7,59.38,0.1,Regular Air,-3.0475,8.69,2.99,Annie Cyprus,Nunavut,Nunavut,Home Office,340237240214087,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2011-07-10
735,5316,2009-01-30,Critical,42,1285.37,0.1,Regular Air,514.07,31.78,1.99,Clay Rozendal,Nunavut,Nunavut,Corporate,347411565598852,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42,2009-02-01
755,5409,2012-01-08,Low,11,48.91,0.01,Regular Air,-7.04,3.98,2.97,Don Jones,Nunavut,Nunavut,Corporate,374194785998351,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,0.35,2012-01-13
769,5506,2010-11-07,Critical,22,129.62,0.05,Regular Air,4.41,5.88,3.04,Beth Thompson,Nunavut,Nunavut,Corporate,373603312074875,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.36,2010-11-08
782,5569,2010-04-29,Not Specified,12,118.97,0.09,Regular Air,-0.05999999999999517,9.65,6.22,Frank Price,Nunavut,Nunavut,Corporate,349896410746078,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,2010-05-01
786,5607,2011-12-31,Not Specified,8,61.871500000000005,0.0,Regular Air,-50.325,7.99,5.03,Michelle Lonsdale,Nunavut,Nunavut,Home Office,375222612065356,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,2012-01-03
817,5894,2009-08-12,High,7,384.33,0.1,Regular Air,87.6775,58.1,1.49,Ann Chong,Nunavut,Nunavut,Corporate,375420644794783,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.38,2009-08-13
818,5894,2009-08-12,High,3,239.03,0.01,Regular Air,-68.22,80.48,4.5,Ann Chong,Nunavut,Nunavut,Corporate,345164317137576,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,0.55,2009-08-15
821,5925,2011-11-12,Low,44,3922.42,0.08,Regular Air,-354.9,92.23,39.61,Joy Bell,Nunavut,Nunavut,Home Office,371644737073490,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,2011-11-19
822,5925,2011-11-12,Low,25,1733.3625,0.07,Regular Air,-267.014,85.99,0.99,Joy Bell,Nunavut,Nunavut,Home Office,348971655247693,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,2011-11-19
839,6016,2012-01-20,High,19,208.28,0.07,Regular Air,3.63,11.48,5.43,Skye Norling,Nunavut,Nunavut,Home Office,377149122128499,Office Supplies,Paper,Personal Creations™ Ink Jet Cards and Labels,Small Box,0.36,2012-01-20
853,6116,2009-03-20,Medium,6,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Barry Weirich,Nunavut,Nunavut,Corporate,345941968557396,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,2009-03-22
863,6182,2012-07-21,Low,40,255.48,0.04,Regular Air,-116.79,6.48,6.65,Grant Carroll,Nunavut,Nunavut,Corporate,343382397811033,Office Supplies,Paper,Xerox 1966,Small Box,0.36,2012-07-28
864,6182,2012-07-21,Low,18,130.32,0.04,Express Air,-67.28,6.48,7.86,Grant Carroll,Nunavut,Nunavut,Corporate,379330928429723,Office Supplies,Paper,Xerox 213,Small Box,0.37,2012-07-25
911,6535,2012-06-12,Critical,11,312.36,0.07,Express Air,-19.33,28.15,8.99,Adrian Hane,Nunavut,Nunavut,Corporate,374841241285506,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,2012-06-15
950,6884,2009-01-15,Low,41,217.0,0.01,Regular Air,-61.21,4.98,4.75,Skye Norling,Nunavut,Nunavut,Home Office,379785392039250,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,2009-01-20
951,6884,2009-01-15,Low,47,296.13,0.04,Regular Air,119.09,6.35,1.02,Skye Norling,Nunavut,Nunavut,Home Office,347222122299771,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,0.39,2009-01-20
956,6916,2010-06-04,Low,40,436.17,0.08,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,Nunavut,Nunavut,Consumer,373609844357779,Office Supplies,Storage & Organization,Crate-A-Files™,Small Box,0.59,2010-06-08
963,6980,2010-02-18,Not Specified,18,136.29,0.05,Regular Air,-77.28,7.3,7.72,Ralph Knight,Nunavut,Nunavut,Consumer,342092354266151,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2010-02-19
964,6982,2011-11-16,Not Specified,32,1311.25,0.0,Express Air,407.44,39.48,1.99,Dorothy Wardle,Nunavut,Nunavut,Corporate,376713101682239,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,2011-11-18
965,6982,2011-11-16,Not Specified,5,544.41,0.09,Delivery Truck,-338.27,100.98,57.38,Dorothy Wardle,Nunavut,Nunavut,Corporate,377257440113323,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,2011-11-18
966,6982,2011-11-16,Not Specified,41,844.09,0.04,Regular Air,52.56,19.98,10.49,Dorothy Wardle,Nunavut,Nunavut,Corporate,376389681919992,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,2011-11-18
988,7110,2011-08-07,Low,22,6396.2,0.02,Regular Air,1902.24,276.2,24.49,Grant Carroll,Nunavut,Nunavut,Corporate,341602795880120,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,2011-08-11
1017,7430,2010-06-08,Medium,50,751.77,0.05,Regular Air,353.2,15.67,1.39,Barry Weirich,Nunavut,Nunavut,Corporate,374672284084401,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,2010-06-09
1073,7906,2009-10-17,Medium,37,1003.06,0.03,Regular Air,271.78,25.98,5.37,Beth Paige,Nunavut,Nunavut,Consumer,373631540775856,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.5,2009-10-17
1154,8391,2011-08-28,High,4,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,Sylvia Foulston,Nunavut,Nunavut,Corporate,376139358094953,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56,2011-08-29
1156,8419,2011-09-29,Critical,19,368.04,0.07,Express Air,70.39,19.98,5.97,Nicole Hansen,Nunavut,Nunavut,Small Business,371646173250425,Office Supplies,Paper,Xerox 1936,Small Box,0.38,2011-10-01
1157,8419,2011-09-29,Critical,24,152.6,0.1,Regular Air,-86.62,6.48,7.03,Nicole Hansen,Nunavut,Nunavut,Small Business,376774686440047,Office Supplies,Paper,Xerox 214,Small Box,0.37,2011-09-30
1205,8833,2012-05-04,Low,40,3338.98,0.0,Regular Air,-846.73,80.98,35.0,Nicole Hansen,Nunavut,Nunavut,Small Business,346580127191207,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,2012-05-08
1226,8995,2011-05-17,High,5,24.16,0.08,Express Air,8.0495,1.88,1.49,Beth Paige,Nunavut,Nunavut,Consumer,349393939747167,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box,0.37,2011-05-18
1227,8995,2011-05-17,High,41,270.84,0.1,Express Air,-78.02,6.48,5.86,Beth Paige,Northwest Territories,Northwest Territories,Consumer,375191536222049,Office Supplies,Paper,Xerox 1904,Small Box,0.36,2011-05-18
1228,8995,2011-05-17,High,35,3389.93,0.08,Express Air,737.94,102.3,21.26,Beth Paige,Northwest Territories,Northwest Territories,Consumer,372485824117082,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.59,2011-05-18
1229,8995,2011-05-17,High,42,266.36,0.07,Regular Air,-191.28,6.48,8.19,Beth Paige,Northwest Territories,Northwest Territories,Consumer,347269811342560,Office Supplies,Paper,Xerox 217,Small Box,0.37,2011-05-18
1230,8995,2011-05-17,High,46,89.41,0.01,Regular Air,-21.49,1.89,0.76,Beth Paige,Northwest Territories,Northwest Territories,Consumer,346103697681331,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.83,2011-05-19
1258,9126,2009-11-17,Medium,47,2799.7,0.04,Regular Air,884.08,62.05,3.99,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,376501813613836,Office Supplies,Appliances,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.55,2009-11-18
1259,9127,2011-10-10,Not Specified,7,2039.56,0.04,Express Air,-329.49,279.48,35.0,Bryan Davis,Northwest Territories,Northwest Territories,Corporate,375359348919645,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8,2011-10-12
1299,9509,2012-10-07,Not Specified,36,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,Joy Bell,Northwest Territories,Northwest Territories,Home Office,371825930217097,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,2012-10-08
1300,9509,2012-10-07,Not Specified,5,101.21,0.1,Express Air,2.13,18.97,5.21,Joy Bell,Northwest Territories,Northwest Territories,Home Office,348985927033848,Office Supplies,Paper,Xerox 1887,Small Box,0.37,2012-10-08
1301,9509,2012-10-07,Not Specified,32,1585.64,0.02,Regular Air,707.15,48.91,5.81,Joy Bell,Northwest Territories,Northwest Territories,Home Office,376193559761225,Office Supplies,Paper,Xerox 1891,Small Box,0.38,2012-10-07
1337,9763,2011-08-13,Medium,44,176.26,0.07,Regular Air,75.13,4.13,0.5,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,342808804196213,Office Supplies,Labels,Avery 506,Small Box,0.39,2011-08-16
1370,9927,2011-08-16,High,32,4655.07,0.0,Delivery Truck,-270.63,140.98,53.48,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,342797336101926,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65,2011-08-17
1371,9927,2011-08-16,High,44,10087.6,0.01,Regular Air,3387.35,218.08,18.06,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,376544301998749,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,2011-08-17
1372,9927,2011-08-16,High,34,1608.08,0.09,Express Air,-82.16,50.98,6.5,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,378054099862469,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,0.73,2011-08-17
1380,10022,2009-03-04,Low,1,12.18,0.06,Regular Air,-3.88,10.14,2.27,Delfina Latchford,Northwest Territories,Northwest Territories,Small Business,375556113741225,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,2009-03-04
1445,10437,2009-08-18,Critical,50,820.52,0.01,Regular Air,-191.222,15.99,13.18,Don Jones,Northwest Territories,Northwest Territories,Corporate,343719978976018,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,2009-08-20
1457,10499,2010-11-16,Not Specified,29,6250.936000000001,0.01,Delivery Truck,31.21,262.11,62.74,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,377054556969717,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75,2010-11-17
1462,10535,2011-05-27,Low,25,854.88,0.09,Regular Air,-44.14,33.98,19.99,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,346812647663641,Furniture,Office Furnishings,"Linden® 12"" Wall Clock With Oak Frame",Small Box,0.55,2011-05-29
1463,10535,2011-05-27,Low,46,80.27,0.09,Regular Air,-0.79,1.76,0.7,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,373243222825742,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56,2011-06-03
1495,10789,2010-08-23,Not Specified,15,308.54,0.0,Express Air,76.42,19.84,4.1,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,343186243532440,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,2010-08-24
1496,10791,2011-08-19,Not Specified,20,400.57,0.05,Regular Air,93.36,19.98,5.77,Anthony Johnson,Northwest Territories,Northwest Territories,Small Business,343410304560631,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,0.38,2011-08-21
1513,10945,2012-01-03,Medium,14,1170.025,0.04,Regular Air,4.221000000000011,95.99,8.99,Ralph Knight,Northwest Territories,Northwest Territories,Consumer,346753045322267,Technology,Telephones and Communication,600 Series Flip,Small Box,0.57,2012-01-05
1544,11137,2012-11-29,High,48,5188.86,0.1,Regular Air,395.12,111.03,8.64,Allen Rosenblatt,Northwest Territories,Northwest Territories,Small Business,372090158319740,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box,0.78,2012-11-30
1551,11202,2012-03-17,Medium,8,339.81,0.05,Regular Air,79.5855,43.41,2.99,Barry Weirich,Northwest Territories,Northwest Territories,Corporate,374239213622642,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Small Box,0.39,2012-03-18
1589,11456,2010-04-12,Low,15,1519.9,0.09,Regular Air,399.37,105.34,24.49,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,343402829062664,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.61,2010-04-19
1590,11460,2010-08-24,High,30,102.24,0.09,Regular Air,37.79,3.69,0.5,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,372658184060072,Office Supplies,Labels,Avery 487,Small Box,0.38,2010-08-26
1594,11495,2011-07-04,High,6,965.69,0.0,Delivery Truck,-144.198,146.34,43.75,Brendan Dodson,Northwest Territories,Northwest Territories,Corporate,372811185720141,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,Jumbo Box,0.65,2011-07-05
1654,11911,2010-11-10,Critical,25,397.84,0.0,Regular Air,-14.7545,15.22,9.73,Edward Hooks,Northwest Territories,Northwest Territories,Consumer,379181955328753,Office Supplies,Binders and Binder Accessories,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Small Box,0.36,2010-11-12
